full_total_building_area,area_code,lat,long,project_main_usage,number_of_buildings,total_land_area,floor_area_ratio,period_days,land_price,salary_avg_construction,hot_rolled_coil,end_date,start_date,investment
17971.6,440113,23.032515,113.463469,public,,19593.0,0.9172459551880773,395.0,,,3795.3333333333335,2025-04-19,2024-03-20,5090.1213
83184.16,440114,23.430561,113.324342,commercial,,32479.0,2.56,182.0,,81755.0,3872.15,2024-03-26,2023-09-26,23000.0
7955.73,440112,23.151337,113.522452,industrial,1.0,,,243.0,,,3795.3333333333335,2024-11-29,2024-03-31,3000.0
3338.19,440115,22.687786,113.645475,industrial,1.0,3276.33,1.0189,642.0,,,3795.3333333333335,2025-12-30,2024-03-28,2723.4457
8122.0,440118,23.157496,113.614747,commercial,2.0,6666.67,1.2183,364.0,,,3795.3333333333335,2025-03-04,2024-03-05,1280.0
51348.7,440114,23.207295,113.223368,industrial,3.0,10496.0,4.892216082317073,570.0,,,3768.15,2025-10-26,2024-04-04,25000.0
11000.0,440114,23.43145,113.414007,industrial,2.0,7283.24,1.510316837012099,365.0,,,3768.15,2025-04-09,2024-04-09,3000.0
15094.0,440114,23.436796,113.326327,industrial,3.0,5809.52,2.598149244688029,367.0,,81755.0,4073.4761904761904,2024-12-30,2023-12-29,2600.0
21071.0,440111,23.154731,113.205751,residential,1.0,4436.0,4.75,705.0,,,3768.15,2026-03-09,2024-04-03,10535.5
109208.32,440114,23.385697,113.239217,industrial,6.0,35425.0,3.082803669724771,364.0,,,3768.15,2025-04-14,2024-04-15,28000.0
118688.0,440111,23.252857,113.318248,industrial,,35827.0,3.3128087755045077,730.0,,,3768.15,2026-04-02,2024-04-02,30000.0
21491.06,440118,23.254073,113.846175,industrial,2.0,10666.72,2.0147768011159948,334.0,,,4064.818181818182,2024-12-30,2024-01-31,7500.0
67712.0,440111,23.233565,113.186053,industrial,,20354.0,4.0,355.0,,81755.0,3785.3,2024-06-19,2023-06-30,29778.0
14193.0,440114,23.378075,113.222163,mixed use,,5869.0,2.4182995399556995,944.0,,,3795.3333333333335,2026-10-31,2024-03-31,32400.0
77875.0,440112,23.164851,113.423771,industrial,2.0,,,548.0,,,3768.15,2025-10-30,2024-04-30,29000.0
27000.0,440112,23.060303,113.521367,industrial,1.0,8513.0,3.171619875484553,346.0,,,3795.3333333333335,2025-03-02,2024-03-21,27599.0
